name,a,t,r,pp,latency,fps,iou,size
a1t6r3pp1,1,6,3,1,0.2204,4.5372,0.9777,"4,5"
a075t6r3pp1,"0,75",6,3,1,0.1648,6.0679,0.9771,"2,6"
a05t6r3pp1,"0,5",6,3,1,0.1000,10.0000,0.9782,"1,2"
a025t6r3pp1,"0,25",6,3,1,0.0485,20.6185,0.9762,"0,338"
a0125t6r3pp1,"0,125",6,3,1,0.0265,37.7358,0.9711,"0,111"
a05t4r3pp1,"0,5",4,3,1,0.0871,11.4810,0.9773,"0,834"
a025t4r3pp1,"0,25",4,3,1,0.0420,23.8095,0.9738,"0,242"
a0125t4r3pp1,"0,125",4,3,1,0.0238,42.0168,0.9716,"0,083"
a025t2r3pp1,"0,25",2,3,1,0.0354,28.2485,0.9740,"0,145"
a0125t2r3pp1,"0,125",2,3,1,0.0212,47.1698,0.9686,"0,054"
