input_res,input_chans,latency,fps,iou,size
512x512,3,0.2177,4.5934,0.9788,"4,208"
256x256,3,0.0639,15.6495,0.9729,"4,208"
224x224,3,0.0467,21.4133,0.9708,"4,208"
192x192,3,0.0350,28.5714,0.9723,"4,208"
160x160,3,0.0260,38.4615,0.9641,"4,208"
128x128,3,0.0165,60.6061,0.9564,"4,208"
96x96,3,0.0119,84.0336,0.9393,"4,208"
512x512,1,0.2068,4.8356,0.9715,"4,206"
256x256,1,0.0553,18.0832,0.9542,"4,206"
224x224,1,0.0435,22.9885,0.9458,"4,206"
192x192,1,0.0343,29.1545,0.9335,"4,206"
160x160,1,0.0249,40.1606,0.9227,"4,206"
128x128,1,0.0158,63.2911,0.9219,"4,206"
96x96,1,0.0116,86.2069,0.8974,"4,206"
