model name,input resolution,input channels,a,t,r,pp,total number of parameters,input size (MB),forward pass size (MB),parameters size (MB),estimated total size (MB),total MACs (M)
baseline,512x512,3,1,6,3,1,"1,122,673","3,15","209,88","4,49","217,52","830,67"
512x512x3_a1.0t6r3pp0,512x512,3,1,6,3,0,"1,122,673",3.15,"200,97","4,34","208,45","826,65"
256x256x3_a1.0t6r3pp0,256x256,3,1,6,3,0,"1,122,673","0,79","50,24","4,34","55,36","206,68"
224x224x3_a1.0t6r3pp0,224x224,3,1,6,3,0,"1,122,673","0,6","38,47","4,34","43,4","158,24"
192x192x3_a1.0t6r3pp0,192x192,3,1,6,3,0,"1,122,673","0,44","28,26","4,34","33,04","116,27"
160x160x3_a1.0t6r3pp0,160x160,3,1,6,3,0,"1,122,673","0,31","19,63","4,34","24,27","80,75"
128x128x3_a1.0t6r3pp0,128x128,3,1,6,3,0,"1,122,673","0,2","12,56","4,34","17,09","51,69"
96x96x3_a1.0t6r3pp0,96x96,3,1,6,3,0,"1,122,673","0,11","7,07","4,34","11,51","29,08"
512x512x3_a1.0t6r3pp0,512x512,3,1,6,3,0,"1,122,673",3.15,"200,97","4,34","208,45","826,65"
256x256x3_a1.0t6r3pp0,256x256,3,1,6,3,0,"1,122,673","0,79","50,24","4,34","55,36","206,68"
224x224x3_a1.0t6r3pp0,224x224,3,1,6,3,0,"1,122,673","0,6","38,47","4,34","43,4","158,24"
192x192x3_a1.0t6r3pp0,192x192,3,1,6,3,0,"1,122,673","0,44","28,26","4,34","33,04","116,27"
160x160x3_a1.0t6r3pp0,160x160,3,1,6,3,0,"1,122,673","0,31","19,63","4,34","24,27","80,75"
128x128x3_a1.0t6r3pp0,128x128,3,1,6,3,0,"1,122,673","0,2","12,56","4,34","17,09","51,69"
96x96x3_a1.0t6r3pp0,96x96,3,1,6,3,0,"1,122,673","0,11","7,07","4,34","11,51","29,08"
512x512x1_a1.0t6r3pp0,512x512,1,1,6,3,0,"1,122,097",1.05,"200,97","4,33","206,35","788,9"
256x256x1_a1.0t6r3pp0,256x256,1,1,6,3,0,"1,122,097","0,26","50,24","4,33","54,84","197,24"
224x224x1_a1.0t6r3pp0,224x224,1,1,6,3,0,"1,122,097","0,2","38,47","4,33",43,"151,02"
192x192x1_a1.0t6r3pp0,192x192,1,1,6,3,0,"1,122,097","0,15","28,26","4,33","32,74","110,96"
160x160x1_a1.0t6r3pp0,160x160,1,1,6,3,0,"1,122,097","0,1","19,63","4,33","24,06","77,06"
128x128x1_a1.0t6r3pp0,128x128,1,1,6,3,0,"1,122,097","0,07","12,56","4,33","16,96","49,33"
96x96x1_a1.0t6r3pp0,96x96,1,1,6,3,0,"1,122,097","0,04","7,07","4,33","11,44","27,76"
512x512x3_a0.75t6r3pp1,512x512,3,"0,75",6,3,1,"644,917","3,15","157,42","2,58","163,14","485,61"
512x512x3_a0.5t6r3pp1,512x512,3,"0,5",6,3,1,"298,553","3,15","104,96","1,19","109,3","232,14"
512x512x3_a0.25t6r3pp1,512x512,3,"0,25",6,3,1,"83,581","3,15","52,49","0,33","55,97","70,27"
512x512x3_a0.125t6r3pp1,512x512,3,"0,125",6,3,1,"25,367","3,15","26,26","0,1","29,51","23,69"
512x512x3_a0.75t4r3pp1,512x512,3,"0,75",4,3,1,"450,757","3,15","134,61","1,8","139,56","396,21"
512x512x3_a0.5t4r3pp1,512x512,3,"0,5",4,3,1,"208,793","3,15","89,75","0,84","93,73","191,35"
512x512x3_a0.25t4r3pp1,512x512,3,"0,25",4,3,1,"58,541","3,15","44,89","0,23","48,27","59,28"
512x512x3_a0.125t4r3pp1,512x512,3,"0,125",4,3,1,"17,807","3,15","22,46","0,07","25,68","20,54"
512x512x3_a0.75t2r3pp1,512x512,3,"0,75",2,3,1,"256,597","3,15","111,8","1,03","115,98","306,81"
512x512x3_a0.5t2r3pp1,512x512,3,"0,5",2,3,1,"119,033","3,15","74,55","0,48","78,17","150,56"
512x512x3_a0.25t2r3pp1,512x512,3,"0,25",2,3,1,"33,501","3,15","37,29","0,13","40,57","48,29"
512x512x3_a0.125t2r3pp1,512x512,3,"0,125",2,3,1,"10,247","3,15","18,66","0,04","21,85","17,4"
512x512x3_a1.0t62pp1,512x512,3,1,6,2,1,"743,281","3,15","184,32","2,97","190,44","695,05"
